so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,85,0.003,0.3,,,2,25,2,18,서울,,1,,2,,2026-09-14 13:00,1,0.007,중구,1,0.072
1,,78,0.002,0.5,,,2,33,2,16,서울,,1,,1,,2026-09-14 13:00,1,0.016,한강대로,1,0.064
1,,79,0.002,0.3,,,2,27,2,17,서울,,1,,2,,2026-09-14 13:00,1,0.008,종로구,1,0.064
1,,72,0.002,0.4,,,2,31,2,16,서울,,1,,2,,2026-09-14 13:00,1,0.013,청계천로,2,0.056
1,,75,0.002,0.3,,,2,31,2,19,서울,,1,,2,,2026-09-14 13:00,1,0.010,종로,1,0.060
1,,78,0.002,0.3,,,2,35,2,19,서울,,1,,2,,2026-09-14 13:00,1,0.007,용산구,2,0.063
1,,77,0.003,0.3,,,2,32,2,15,서울,,1,,2,,2026-09-14 13:00,1,0.010,광진구,2,0.062
1,,76,0.003,0.3,,,2,24,2,16,서울,,1,,2,,2026-09-14 13:00,1,0.007,성동구,2,0.061
1,,63,0.003,0.4,,,2,26,2,15,서울,,1,,2,,2026-09-14 13:00,1,0.026,강변북로,2,0.045
1,,-,0.003,0.3,,통신장애,2,-,,18,서울,,1,,2,,2026-09-14 13:00,1,0.007,중랑구,,0.055
1,,78,0.003,0.3,,,2,25,2,19,서울,,1,,2,,2026-09-14 13:00,1,0.006,동대문구,1,0.064
1,,66,0.003,0.4,,,2,28,2,11,서울,,1,,1,,2026-09-14 13:00,1,0.022,홍릉로,2,0.048
1,,73,0.003,0.3,,,2,27,2,17,서울,,1,,2,,2026-09-14 13:00,1,0.004,성북구,2,0.057
1,,68,0.002,0.4,,,2,32,2,18,서울,,1,,2,,2026-09-14 13:00,1,0.017,정릉로,2,0.051
1,,81,0.003,0.3,,,2,20,2,15,서울,,1,,1,,2026-09-14 13:00,1,0.003,도봉구,1,0.066
,통신장애,-,-,-,통신장애,통신장애,,-,,-,서울,통신장애,,통신장애,,통신장애,2026-09-14 13:00,,-,은평구,,-
1,,86,0.003,0.3,,,2,28,2,16,서울,,1,,1,,2026-09-14 13:00,1,0.006,서대문구,1,0.072
1,,72,0.002,0.3,,,2,22,2,19,서울,,1,,1,,2026-09-14 13:00,1,0.006,마포구,1,0.056
1,,64,0.003,0.5,,,2,37,2,22,서울,,1,,2,,2026-09-14 13:00,1,0.025,신촌로,1,0.046
1,,-,0.003,0.3,,,2,14,,11,서울,,1,,,,2026-09-14 13:00,1,0.006,강서구,,0.055
1,,72,0.002,0.3,,,2,32,2,27,서울,,1,,2,,2026-09-14 13:00,1,0.010,공항대로,2,0.048
1,,83,0.002,0.3,,,2,25,2,14,서울,,1,,1,,2026-09-14 13:00,1,0.005,구로구,1,0.069
1,,76,0.002,0.4,,,2,34,2,19,서울,,1,,2,,2026-09-14 13:00,1,0.010,영등포구,1,0.061
1,,71,0.002,0.4,,,2,35,2,20,서울,,1,,2,,2026-09-14 13:00,1,0.018,영등포로,1,0.055
1,,80,0.002,0.3,,,2,28,2,14,서울,,1,,1,,2026-09-14 13:00,1,0.009,동작구,1,0.066
1,,70,0.003,0.4,,,2,32,2,22,서울,,1,,2,,2026-09-14 13:00,1,0.023,동작대로 중앙차로,2,0.053
1,,85,0.002,0.3,,,2,34,2,17,서울,,1,,1,,2026-09-14 13:00,1,0.010,관악구,1,0.071
1,,86,0.002,0.3,,,2,24,2,14,서울,,1,,2,,2026-09-14 13:00,1,0.007,강남구,2,0.073
1,,-,0.002,0.3,,,2,38,,25,서울,,1,,2,,2026-09-14 13:00,1,0.009,서초구,,0.068
1,,79,0.003,0.4,,,2,36,2,16,서울,,1,,2,,2026-09-14 13:00,1,0.012,도산대로,2,0.064
1,,67,0.002,0.5,,,2,57,2,30,서울,,1,,2,,2026-09-14 13:00,1,0.019,강남대로,2,0.049
1,,75,0.002,0.3,,,2,27,2,19,서울,,1,,2,,2026-09-14 13:00,1,0.012,송파구,2,0.059
1,,78,0.003,0.5,,,2,28,2,14,서울,,1,,2,,2026-09-14 13:00,1,0.008,강동구,2,0.063
1,,68,0.003,0.4,,,2,31,2,22,서울,,1,,2,,2026-09-14 13:00,1,0.023,천호대로,2,0.051
1,,80,0.003,0.4,,,2,33,2,12,서울,,1,,2,,2026-09-14 13:00,1,0.010,금천구,1,0.065
1,,73,0.003,0.3,,,2,32,2,18,서울,,1,,2,,2026-09-14 13:00,1,0.012,시흥대로,2,0.057
1,,80,0.002,0.3,,,2,22,2,19,서울,,1,,2,,2026-09-14 13:00,1,0.003,강북구,1,0.065
1,,79,0.002,0.3,,,2,28,2,15,서울,,1,,1,,2026-09-14 13:00,1,0.006,양천구,1,0.064
1,,78,0.002,0.3,,,2,24,2,18,서울,,1,,2,,2026-09-14 13:00,1,0.005,노원구,1,0.063
1,,64,0.002,0.4,,,2,30,2,18,서울,,1,,2,,2026-09-14 13:00,1,0.028,화랑로,2,0.042
